config_id,item_name,category,rarity,price,trait_config_id
0,two_more_times,talisman,common,25000,1000
1,roll_and_roll,talisman,common,25000,1001
2,shrimp_swarm,talisman,uncommon,50000,1002
3,fish_fortune,talisman,uncommon,50000,1003
4,flourish,talisman,uncommon,50000,1004
5,crab_harvest,talisman,uncommon,50000,1005
6,chicken_clock,talisman,uncommon,50000,1006
7,oh_deer,talisman,uncommon,50000,1007
8,keep_double_up,talisman,common,25000,1008
9,keep_tribble_up,talisman,common,25000,1009
10,all_in,talisman,Rare,75000,1010
11,betting_tactic,talisman,Rare,75000,1011
12,still_breathing_still_gambling,talisman,uncommon,50000,1012
13,silver_crab,talisman,common,25000,1013
14,silver_deer,talisman,common,25000,1014
15,silver_chicken,talisman,common,25000,1015
16,silver_fish,talisman,common,25000,1016
17,silver_shrimp,talisman,common,25000,1017
18,slver_gourb,talisman,common,25000,1018
19,discount,talisman,rare,75000,1019
20,bet_hard,talisman,rare,75000,1020
21,more_slot_please,talisman,uncommon,50000,1021
22,no_need_water,talisman,uncommon,50000,1022
23,no_need_surface,talisman,uncommon,50000,1023
24,hatch,talisman,uncommon,50000,1024
